<header>
line_info=time	lotid	substrateid	slot	recipe	product	step	stepname	rsd_01	rsd_02	rsd_03	rsd_04	rsd_05	rsd_06	rsd_07	rsd_08	rsd_09	rsd_10	rsd_11	rsd_12	rsd_13	rsd_14	rsd_15	rsd_16	rsd_17	rsd_18	rsd_19	rsd_20	status
svid_info=299	279	294	297	280	274	286	285	300	272	292	287	284	275	283	DQ	288	282	273	276	281	277	296	295	298	289	271	290	291	278	293
param_info=Exhaust_Temperature	Device_Manager_Exception_Detail_Warning_Dry_Pump	Coolant_Flow_Dry_Main_Booster	Inlet_Pressure_Dry_Pump	Device_Manager_Exception_Detail_Warning_Booster	Actuator-VP1_Pump_State_Main_Booster	Main_Booster_Temperature_2	Main_Booster_Temperature	Run_Hour	Pump_Co-Ordinated_Mode_Status	Purge_Gas_Flow_Main_Booster	Dry_Pump_Current	Dry_Pump_Temperature_2	Fast_Stop_Enabled	Dry_Pump_Temperature_1	DATA_QUALITY_1	Main_Booster_Current	Main_Booster_Speed	Actuator-VP1_Pump_State_Dry_Pump	Idle_Mode_Capable	Dry_Pump_Speed	Device_Manager_Exception_Detail_Alarm_Dry_Pump	Exhaust_Pressure_Main_Booster	Exhaust_Pressure_Dry_Pump	Inlet_Pressure_Main_Booster	Dry_Pump_Power	Pump_Access_Mode_Status	Main_Booster_Power	Purge_Gas_Flow_Dry_Pump	Device_Manager_Exception_Detail_Alarm_Booster	Coolant_Flow_Dry_Pump
param_name=Exhaust_Temperature	Device_Manager_Exception_Detail_Warning_Dry_Pump	Coolant_Flow_Dry_Main_Booster	Inlet_Pressure_Dry_Pump	Device_Manager_Exception_Detail_Warning_Booster	Actuator-VP1_Pump_State_Main_Booster	Main_Booster_Temperature_2	Main_Booster_Temperature	Run_Hour	Pump_Co-Ordinated_Mode_Status	Purge_Gas_Flow_Main_Booster	Dry_Pump_Current	Dry_Pump_Temperature_2	Fast_Stop_Enabled	Dry_Pump_Temperature_1	DATA_QUALITY_1	Main_Booster_Current	Main_Booster_Speed	Actuator-VP1_Pump_State_Dry_Pump	Idle_Mode_Capable	Dry_Pump_Speed	Device_Manager_Exception_Detail_Alarm_Dry_Pump	Exhaust_Pressure_Main_Booster	Exhaust_Pressure_Dry_Pump	Inlet_Pressure_Main_Booster	Dry_Pump_Power	Pump_Access_Mode_Status	Main_Booster_Power	Purge_Gas_Flow_Dry_Pump	Device_Manager_Exception_Detail_Alarm_Booster	Coolant_Flow_Dry_Pump
data_type_cd=FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT	FLT
unit=¡ÆC			kPa			¡ÆC	¡ÆC	Hour			A	¡ÆC		¡ÆC	%	A	%			%			kPa		kW		kW	litres/Min		litres/Min
mspc_info
</header>
time	2021-02-17 06:07:02.611	2021-02-17 06:08:02.607	2021-02-17 06:09:02.564	2021-02-17 06:10:02.561	2021-02-17 06:11:02.645	2021-02-17 06:12:02.584	2021-02-17 06:13:01.983	2021-02-17 06:14:02.586	2021-02-17 06:15:02.571	2021-02-17 06:16:02.608	2021-02-17 06:17:02.626	2021-02-17 06:18:02.599	2021-02-17 06:19:02.567	2021-02-17 06:20:02.621	2021-02-17 06:21:02.545	2021-02-17 06:22:02.540	2021-02-17 06:23:02.580	2021-02-17 06:24:02.605	2021-02-17 06:25:02.514	2021-02-17 06:26:02.624	2021-02-17 06:27:02.682	2021-02-17 06:28:02.568	2021-02-17 06:29:02.469	2021-02-17 06:30:02.654	2021-02-17 06:31:02.580	2021-02-17 06:32:01.746	2021-02-17 06:33:02.559	2021-02-17 06:34:02.598	2021-02-17 06:35:02.641	2021-02-17 06:36:02.572	2021-02-17 06:37:02.636	2021-02-17 06:38:02.731	2021-02-17 06:39:02.574	2021-02-17 06:40:01.711	2021-02-17 06:41:01.829	2021-02-17 06:42:02.616	2021-02-17 06:43:02.574	2021-02-17 06:44:01.727	2021-02-17 06:45:01.708	2021-02-17 06:46:02.484	2021-02-17 06:47:02.658	2021-02-17 06:48:02.733	2021-02-17 06:49:01.659	2021-02-17 06:50:02.764	2021-02-17 06:51:02.631	2021-02-17 06:52:02.644	2021-02-17 06:53:02.629	2021-02-17 06:54:01.643	2021-02-17 06:55:02.668	2021-02-17 06:56:02.630	2021-02-17 06:57:02.677	2021-02-17 06:58:01.685	2021-02-17 06:59:01.664	2021-02-17 07:00:02.696	2021-02-17 07:01:02.644	2021-02-17 07:02:02.279	2021-02-17 07:03:02.733	2021-02-17 07:04:02.719	2021-02-17 07:05:02.708
lotid	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217	20210217
substrateid	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706	2021021706
slot																																																											
recipe	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
product																																																											
step																																																											
stepname																																																											
rsd_01																																																											
rsd_02																																																											
rsd_03																																																											
rsd_04	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02	6LDPPE01-PE02-CHA02
rsd_05																																																											
rsd_06																																																											
rsd_07																																																											
rsd_08																																																											
rsd_09																																																											
rsd_10																																																											
rsd_11																																																											
rsd_12																																																											
rsd_13																																																											
rsd_14																																																											
rsd_15																																																											
rsd_16																																																											
rsd_17																																																											
rsd_18																																																											
rsd_19																																																											
rsd_20																																																											
status	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
